Date,TCS.NS,INFY.NS,HCLTECH.NS,TATASTEEL.NS,HINDALCO.NS,JINDALSTEL.NS,HDFCBANK.NS,ICICIBANK.NS,KOTAKBANK.NS,HINDUNILVR.NS,ITC.NS,NESTLEIND.NS
2025-01-29,3962.84716796875,1827.1759033203125,1660.7984619140625,127.81918334960938,579.84765625,847.319091796875,827.4651489257812,1242.066162109375,383.6277160644531,2340.740234375,410.2989807128906,1073.08203125
2025-01-30,3963.0888671875,1806.4881591796875,1655.09814453125,128.1318817138672,583.5703735351562,838.3867797851562,834.4705200195312,1245.98583984375,379.8620300292969,2365.0908203125,412.9974365234375,1091.1168212890625
2025-01-31,3975.0263671875,1825.7677001953125,1667.0301513671875,131.5521240234375,589.973388671875,789.9827880859375,838.047119140625,1243.2073974609375,379.82208251953125,2424.052490234375,423.69635009765625,1138.28271484375
2025-02-01,3937.087646484375,1798.1353759765625,1636.64501953125,129.93972778320312,582.1806030273438,774.8128662109375,834.1991577148438,1245.936279296875,380.1816711425781,2460.627197265625,437.94573974609375,1145.171875
2025-02-03,3932.73779296875,1809.741943359375,1634.712646484375,128.81594848632812,569.870849609375,806.100830078125,827.8104858398438,1243.40576171875,376.4659423828125,2397.68896484375,430.1819763183594,1140.2020263671875
2025-02-04,3969.85498046875,1844.2215576171875,1673.8897705078125,130.3794708251953,579.6987915039062,800.0128784179688,848.9744873046875,1258.4893798828125,385.2558288574219,2393.859619140625,430.93939208984375,1131.5166015625
2025-02-05,3954.43798828125,1842.5218505859375,1654.856689453125,131.33714294433594,596.2275390625,817.228759765625,857.311767578125,1257.9931640625,381.9096984863281,2347.711669921875,424.3117370605469,1106.66650390625
2025-02-06,3946.36669921875,1860.587158203125,1665.1461181640625,129.51951599121094,591.1150512695312,807.74755859375,860.29638671875,1262.6572265625,382.74871826171875,2329.694091796875,417.63677978515625,1101.9918212890625
2025-02-07,3894.798828125,1848.93212890625,1667.223388671875,135.1580352783203,602.9780883789062,842.8778686523438,854.8204345703125,1247.2760009765625,385.4056396484375,2321.004638671875,407.9319763183594,1101.9422607421875
2025-02-10,3902.096923828125,1826.2532958984375,1675.1456298828125,130.98533630371094,591.6610717773438,838.9356689453125,846.4337158203125,1252.9322509765625,391.5785217285156,2318.648193359375,404.47613525390625,1099.9366455078125
2025-02-11,3831.14892578125,1821.7369384765625,1664.8563232421875,127.14490509033203,591.5121459960938,832.8477783203125,839.3544311523438,1243.15771484375,383.2781066894531,2273.28564453125,396.0495300292969,1087.283447265625
